무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F9491,경기도,수원시,시도,,월드컵로,1,경기도 수원시 장안구 팔달로 256-2,경기도 수원시 팔달구 우만동 293-12,37.28860319,127.0132022,보은삼거리 우만초교 어린이보호구역(월드컵경기장→보훈지청),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9492,경기도,수원시,시도,,팔달로,1,,경기도 수원시 장안구 영화동 375-28,37.28572715,127.0078663,화서문교차로(장안문→수원역),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9493,경기도,수원시,시도,,팔달로,2,,경기도 수원시 장안구 영화동 349-7,37.2886043,127.0132049,수원메디움요양병원 건너편(화서문→장안문),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9494,경기도,수원시,시도,,서부로,1,경기도 수원시 권선구 오목천로 20,경기도 수원시 장안구 이목동 243-22,37.23987101,126.9646338,이목사거리(성균관대역→지지대교차로),2,60,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9495,경기도,수원시,시도,,권선로,2,,경기도 수원시 권선구 세류동 227-12,37.26355536,127.0080202,동립말사거리(수원역고가도로→권선동),2,60,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9496,경기도,수원시,시도,,오목천로,1,경기도 수원시 권선구 구운로85번길 22,경기도 수원시 권선구 오목천동 438-5,37.28139452,126.9718397,오목초등학교앞 어린이보호구역(수영오거리→오목초교),2,30,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9497,경기도,수원시,시도,,팔달로,1,,경기도 수원시 팔달구 고등동 169-2,37.27652759,127.0029132,수원여고앞(화서문→수원역),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9501,경기도,수원시,시도,,구운로85번길,1,,경기도 수원시 권선구 구운동 924-3,37.28139612,126.9718404,일월지하차도 입구(화서역→금곡동),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9871,경기도,수원시,일반국도,1번,경수대로,1,,경기도 수원시 권선구 곡반정동 402-9,37.23129526,127.0228047,비상활주로(병점→수원버스터미널),1,70,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9872,경기도,수원시,일반국도,42번,수인로,2,경기도 수원시 장안구 서부로 2359,경기도 수원시 권선구 입북동 672-23,37.31651953,126.9818929,서수원IC 부근(수원역→안산),1,70,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9885,경기도,수원시,시도,,월드컵로,2,경기도 수원시 장안구 경수대로1107번길 3,경기도 수원시 팔달구 우만동 산 77-8,37.31026364,126.9915276,유신고앞 삼거리(수원법원→월드컵경기장),2,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9936,경기도,수원시,시도,,서부로,1,경기도 수원시 장안구 송정로 45-1,경기도 수원시 장안구 이목동 259-1,37.29631544,127.0020251,이목사거리(북수원IC→성균관대역),2,60,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9937,경기도,수원시,일반국도,1번,경수대로,1,,경기도 수원시 장안구 파장동 557-16,37.31026363,126.9915225,국세청삼거리(의왕→장안구청),2,60,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9938,경기도,수원시,시도,,송정로,2,,경기도 수원시 장안구 송죽동 402-5,37.29630976,127.0020305,송정초교앞 어린이보호구역(종합운동장→중부경찰서),2,30,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9939,경기도,수원시,시도,,서수원로,2,,경기도 수원시 권선구 호매실동 9-4,37.27131754,126.9606815,두암골사거리(금곡TG→수원여자대학교),2,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9940,경기도,수원시,시도,,서수원로,1,,경기도 수원시 권선구 오목천동 9,37.25601972,126.965616,권선2사거리(오목천동→금곡TG),2,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9941,경기도,수원시,시도,,서부로,2,,경기도 수원시 권선구 고색동 362-3,37.24553557,126.9785036,산업단지사거리(기배동→권선구청),2,60,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9942,경기도,수원시,시도,,효원로,2,,경기도 수원시 팔달구 매교동 167-119,37.26553979,127.015531,매교역사거리(경기도 수원시청→경기도 청),2,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9943,경기도,수원시,시도,,덕영대로 1190번길,1,,경기도 수원시 권선구 권선동 1367-24,37.24506866,127.0216137,곡정고등학교앞 삼거리(수원골프연습장→버스터미널),2,30,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9972,경기도,수원시,시도,,덕영대로,1,,경기도 수원시 영통구 망포동 56-15,37.24510204,127.0449157,(수원터미널→경희대학교),1,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9973,경기도,수원시,일반국도,1번,경수대로,1,,경기도 수원시 권선구 권선동 1220,37.25005399,127.0187983,터미널사거리(병점→경기도 수원시청),1,60,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
F9978,경기도,수원시,시도,,동수원로,1,경기도 수원시 팔달구 중부대로 131,경기도 수원시 팔달구 인계동 1128,37.27843132,127.0304771,문화의전당사거리(법원→곡반정동),2,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
G0205,경기도,수원시,시도,,세화로,2,,경기도 수원시 권선구 서둔동 323-6,37.26443377,126.9948411,롯데몰삼거리(벌말교차로→서둔지하차도),2,50,,,,2017,경기도남부경찰청,031-888-3952,2023-08-01
G0885,경기도,수원시,일반국도,42번,중부대로,2,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 팔달구 지동 483-3,37.24687115,127.0362137,동수원사거리(수원지방법원→팔달문),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0886,경기도,수원시,시도,,곡선로,2,,경기도 수원시 권선구 권선동 1367-10,37.24022625,127.0256133,곡정초교앞 어린이보호구역(하고렴사거리->공군관사),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0887,경기도,수원시,시도,,덕영대로1323번길,1,경기도 수원시 영통구 봉영로1517번길 40,경기도 수원시 권선구 권선동 1322,37.24989846,127.0660942,곡반초교앞 어린이보호구역(명당초교->화홍중학교),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0888,경기도,수원시,시도,,월드컵로,2,,경기도 수원시 영통구 원천동 621-1,37.27384477,127.0566068,중앙기독초교앞 어린이보호구역(수원지방법원->영덕동),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0889,경기도,수원시,시도,,봉영로1517번길,2,,경기도 수원시 영통구 영통동 967-4,37.24989685,127.0660942,영동초교앞 어린이보호구역(살구골삼거리->삼성전자수원사업장),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0908,경기도,수원시,시도,,대학로,2,경기도 수원시 팔달구 월드컵로 377,경기도 수원시 영통구 이의동 1373-17,37.29069042,127.0297154,광교초교사거리 어린이보호구역(웰빙타운사거리->경기대역),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0909,경기도,수원시,시도,,웰빙타운로,2,,경기도 수원시 영통구 이의동 1373-3,37.30501587,127.0452491,광교중사거리 어린이보호구역(광교초교)(로제비앙아파트->광교로삼거리),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0910,경기도,수원시,시도,,월드컵로,1,경기도 수원시 장안구 덕영대로 559,경기도 수원시 팔달구 우만동 466-1,37.29495606,126.9821343,경기도 수원시평생학습관앞 어린이보호구역(우만초교)(수원북중->아주대학교),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0911,경기도,수원시,시도,,월드컵로,2,,경기도 수원시 팔달구 우만동 24-1,37.28225144,127.039413,효성초등학교앞 건너편 어린이보호구역(월드컵경기장->아주대학교),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0912,경기도,수원시,시도,,덕영대로,2,경기도 수원시 영통구 덕영대로 지하 1520,경기도 수원시 장안구 천천동 522,37.24568415,127.0573362,근로복지관삼거리(화서역->성균관대역),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0915,경기도,수원시,시도,,동탄원천로,2,,경기도 수원시 영통구 매탄동 1339,37.25481979,127.0449056,매현삼거리(매탄권선역->영통구청),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0916,경기도,수원시,시도,,덕영대로,2,,경기도 수원시 영통구 영통동 1069,37.24568415,127.0573362,외서천삼거리(망포역->경희대),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0917,경기도,수원시,시도,,권선로,2,경기도 수원시 팔달구 향교로 164,경기도 수원시 영통구 신동 503-53,37.27495041,127.0164371,래미안아파트 건너편 사거리(망포역->경기도 수원시청),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0992,경기도,수원시,시도,,서수원로,1,,경기도 수원시 권선구 오목천동 282-3,37.24684779,126.9674802,오목천교사거리 어린이보호구역(오현초교)(호매실동→오현초교),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G0993,경기도,수원시,일반국도,42번,정조로,1,,경기도 수원시 팔달구 중동 22-1,37.27495242,127.0164286,중동사거리(화성행궁→매교동),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1122,경기도,수원시,시도,,금곡로,1,,경기도 수원시 권선구 금곡동 1156,37.27390603,126.9461485,수원칠보고등학교앞 교차로(서수원터미널->상촌중학교),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1123,경기도,수원시,시도,,덕영대로,2,,경기도 수원시 권선구 세류동 195-4,37.26171108,127.0038084,세평삼거리(아하유치원)어린이보호구역(세류중학교->수원역),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1124,경기도,수원시,시도,,칠보로,2,,경기도 수원시 권선구 호매실동 1429,37.26617228,126.9594248,행정복지센터앞 어린이보호구역(호매실초교)(호매실고교->LH호매실13단지),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1125,경기도,수원시,시도,,효원로,1,경기도 수원시 팔달구 경수대로 665,경기도 수원시 팔달구 매교동 253-26,37.28457006,127.027734,태장면고개(매교역->경기도 수원시청),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1147,경기도,수원시,시도,,동탄원천로,1,경기도 수원시 장안구 정자로42번길 17,경기도 수원시 권선구 곡반정동 88-10,37.30058446,126.982582,권선지하차도 지나 500m지점(영통구청→동탄1동),1,60,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1185,경기도,수원시,일반국도,1번,경수대로,1,경기도 수원시 팔달구 경수대로 477,경기도 수원시 팔달구 지동 472-14,37.26885647,127.0269138,못골사거리(장안구청->경기도 수원시청),2,60,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1186,경기도,수원시,시도,,천천로,2,경기도 수원시 영통구 인계로 212,경기도 수원시 장안구 천천동 512-1,37.26507124,127.0406401,천천초등학교사거리 어린이보호구역(이목동->동남보건대학교),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1422,경기도,수원시,시도,,인계로,1,,경기도 수원시 팔달구 인계동 967-2,37.26885629,127.0269117,인계사거리(삼성전기->팔달산),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1597,경기도,수원시,시도,,인계로,2,,경기도 수원시 영통구 매탄동 923-9,37.26507041,127.0406383,신매탄사거리(동수원우체국->삼성전기수원사업장),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1761,경기도,수원시,시도,,서수원로,2,,경기도 수원시 권선구 오목천동 698-2,37.23634013,126.9763754,수원권선 꿈에그린아파트 앞(고색교->수원여자대학교),2,50,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1841,경기도,수원시,시도,,동탄지성로,2,,경기도 수원시 영통구 망포동 71-12,37.24149191,127.0463957,힐스테이트영통아파트 101동 앞 어린이보호구역(망포초교)(망포고교->신동),2,40,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G1945,경기도,수원시,시도,,영통로153번길,1,,경기도 수원시 영통구 망포동 47-4,37.24115877,127.0485594,망포초등학교 앞 어린이보호구역(아이파크캐슬->태장초교),2,30,,,,2018,경기도남부경찰청,031-888-3952,2023-08-01
G2280,경기도,수원시,시도,,광교호수공원로,1,,경기도 수원시 영통구 하동 1023-1,37.28091452,127.0658507,광교아이파크 107동 앞 어린이보호구역(매원초교)(매탄동->원천저수지),2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2305,경기도,수원시,시도,,덕영대로,2,,경기도 수원시 영통구 망포동 58-30,37.2449116,127.0425318,래미안영통마크원1단지아파트 104동 앞(경희대학교->수원버스터미널),1,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2306,경기도,수원시,일반국도,1번,경수대로,1,,경기도 수원시 장안구 파장동 481-2,37.30832892,126.9969754,택시공제경기회관 맞은편(경기도 수원시청->의왕),1,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2331,경기도,수원시,시도,,칠보로,2,,경기도 수원시 권선구 호매실동 546-1,37.26745635,126.9426072,수원호매실칠보마을7단지아파트 702동 앞(행복지센터->경기도 건설본부),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2337,경기도,수원시,시도,,광교호수로,1,,경기도 수원시 영통구 원천동 626,37.27164786,127.0637574,매원초교삼거리(광교호수공원->매탄동),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2338,경기도,수원시,시도,,정자천로,2,,경기도 수원시 장안구 정자동 897,37.29485804,126.9948726,대유평사거리(일월저수지->수원중부경찰서),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2339,경기도,수원시,시도,,정조로,1,,경기도 수원시 팔달구 북수동 370-1,37.28194878,127.0167151,종로사거리(팔달문->장안문),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2340,경기도,수원시,시도,,수성로,1,,경기도 수원시 팔달구 화서동 703-6,37.28475772,126.9859028,꽃뫼사거리(화서역->서경기도 수원시외버스터미널),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2698,경기도,수원시,시도,,동탄지성로,1,,경기도 수원시 영통구 망포동 40-9,37.24110556,127.0463195,망포초교 앞 사거리 어린이보호구역(신동->망포고교),2,40,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2699,경기도,수원시,시도,,영통로153번길,1,,경기도 수원시 영통구 망포동 71-20,37.24149306,127.0461365,망포초교 앞 사거리 어린이보호구역(태장초교->영통아이파크캐슬),2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G2952,경기도,수원시,일반국도,42번,수인로,1,,경기도 수원시 권선구 서둔동 288-1,37.27000229,126.9967229,육교삼거리(서수원버스터미널->수원역),2,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3034,경기도,수원시,시도,,서부로,2,경기도 수원시 권선구 세류로 59-1,경기도 수원시 권선구 구운동 956-1,37.26469347,127.0079779,탑동지하차도 출구 지나 100m지점(권선구청->성균관대역),1,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3035,경기도,수원시,지방도,98번,매송고색로,1,,경기도 수원시 권선구 오목천동 365-3,37.24550581,126.9626377,오동나무삼거리(수원역->매송),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3036,경기도,수원시,시도,,세류로,1,경기도 수원시 영통구 매영로 103,경기도 수원시 권선구 세류동 230-91,37.26847708,127.0537706,LH수원센트럴타운 1단지 입구 세류초교 어린이보호구역 (세류,2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3037,경기도,수원시,일반국도,42번,수인로,2,경기도 수원시 영통구 매영로 103,경기도 수원시 권선구 서둔동 246-11,37.26847708,127.0537706,농진청삼거리(서수원터미널->수원역),2,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3038,경기도,수원시,시도,,매영로,2,경기도 수원시 영통구 청명북로 42,경기도 수원시 영통구 매탄동 1212,37.25547143,127.0816557,원천초교 앞 어린이보호구역(산드레미사거리->산남중학교),2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3039,경기도,수원시,시도,,매영로,2,경기도 수원시 영통구 청명남로4번길 2,경기도 수원시 영통구 매탄동 1212,37.25026783,127.0735253,원천초교 앞 어린이보호구역(산남중학교->산드레미사거리),2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3040,경기도,수원시,시도,,청명북로,2,,경기도 수원시 영통구 영통동 1049-2,37.25544225,127.0816426,신성초교 정문 앞 어린이보호구역(청명역->경기지방중소벤처,2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3041,경기도,수원시,시도,,매영로,1,,경기도 수원시 영통구 영통동 1000-8,37.25026633,127.0735299,영일중학교 앞(경희대->영통역),2,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3102,경기도,수원시,시도,,영통로200번길,2,경기도 수원시 영통구 광교호수공원로 205,경기도 수원시 영통구 영통동 1129-1,37.2796927,127.058864,사명의교회 앞 어린이보호구역(대선초교)(경희대->망포역),2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3103,경기도,수원시,시도,,세권로,2,,경기도 수원시 권선구 세류동 525,37.25861525,127.0126633,신곡초교 후문 앞 어린이보호구역(농수산물도매시장->수원역),2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3104,경기도,수원시,시도,,광교호수공원로,1,,경기도 수원시 영통구 원천동 589-1,37.2796927,127.0588354,광교호수초교 정문 앞 어린이보호구역(광교중앙역->수원남부서,2,30,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3233,경기도,수원시,시도,,권선로,2,,경기도 수원시 권선구 고색동 14-13,37.25991839,126.9898088,수원오토컬렉션 앞(경기도 수원시청->권선구청),2,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3234,경기도,수원시,시도,,권선로,2,,경기도 수원시 권선구 고색동 14-13,37.25991839,126.9898088,수원오토컬렉션 앞(권선구청->경기도 수원시청),2,60,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3235,경기도,수원시,시도,,호매실로,1,경기도 수원시 장안구 수성로 337,경기도 수원시 권선구 호매실동 1417,37.29278659,127.0085554,능실초교사거리 어린이보호구역(호매실동행정복지센터->권선구청,2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3236,경기도,수원시,시도,,매송고색로793번길,2,,경기도 수원시 권선구 고색동 166-23,37.25356539,126.9909564,평동사거리(서둔동->기안동),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3237,경기도,수원시,시도,,수성로,1,경기도 수원시 장안구 수성로 337,경기도 수원시 장안구 정자동 16-2,37.2927855,127.008541,롯데슈퍼 앞(수성중학교->화서역),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3238,경기도,수원시,시도,,덕영대로,1,경기도 수원시 권선구 덕영대로 1153-1,경기도 수원시 팔달구 화서동 659,37.25095313,127.0171242,화서역삼거리(성균관대역->수원역),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3241,경기도,수원시,시도,,법조로,2,,경기도 수원시 영통구 하동 991,37.28974378,127.0675535,수원지방검찰청 앞(상현동->수원컨벤션센터),2,50,,,,2019,경기도남부경찰청,031-888-3952,2023-08-01
G3709,경기도,수원시,시도,,덕영대로,2,,경기도 수원시 권선구 세류동 1217,37.25095113,127.0171233,세류고가차도 위(영통->수원역),2,50,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G3710,경기도,수원시,일반국도,25번,매산로,1,,경기도 수원시 팔달구 교동 213,37.27140566,127.0137506,여성회관삼거리(수원역->교동사거리),2,50,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G3711,경기도,수원시,시도,,장안로,2,,경기도 수원시 장안구 정자동 61-15,37.29731957,126.9978067,만석공원사거리(정자초교->화서문),2,60,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G4602,경기도,수원시,시도,,권선로,2,,경기도 수원시 권선구 호매실동 1386-2,37.2619067,126.9542499,호매실지하차도 지나 100m지점(수원역->호매실IC),1,60,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G4603,경기도,수원시,시도,,권선로,2,,경기도 수원시 권선구 호매실동 1387,37.26145692,126.953296,호매실지하차도 전 150m지점(호매실IC->수원역),1,60,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G4620,경기도,수원시,시도,,서부로,2,,경기도 수원시 권선구 고색동 433-3,37.24522694,126.9781344,산업단지사거리(권선구청->오산),2,60,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G4621,경기도,수원시,시도,,금곡로,2,,경기도 수원시 권선구 금곡동 803-12,37.27515436,126.9565076,홈플러스 서수원점 앞 사거리(화서역->칠보고교),2,50,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G4622,경기도,수원시,시도,,수성로,1,경기도 수원시 장안구 정조로 962,경기도 수원시 장안구 영화동 300-13,37.29318468,127.0113364,수성중사거리(화서역->경기남부보훈지청),2,60,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G4660,경기도,수원시,시도,,매송고색로793번길,1,,경기도 수원시 권선구 고색동 14-100,37.25790807,126.9903357,도이치오토월드 앞 삼거리(고색동→서둔동),2,50,,,,2020,경기도남부경찰청,031-888-3952,2023-08-01
G7643,경기도,수원시,시도,,월드컵로,1,,경기도 수원시 영통구 원천동 625-2,37.27260451,127.0615274,광교더샵 201동 앞 어린이보호구역(매원초)(아주대병원→광,2,30,,,,2021,경기도남부경찰청,031-888-3952,2023-08-01
G7644,경기도,수원시,일반국도,43번,봉영로,1,,경기도 수원시 영통구 영통동 1047-2,37.2563144,127.076393,느티나무사거리(영통역→청명역),2,50,,,,2021,경기도남부경찰청,031-888-3952,2023-08-01
G7645,경기도,수원시,시도,,덕영대로1555번길,2,,경기도 수원시 영통구 영통동 972-5,37.24890792,127.0614363,진아유치원 앞 어린이보호구역(신영초교)(한국지역난방공사→망,2,30,,,,2021,경기도남부경찰청,031-888-3952,2023-08-01
G7646,경기도,수원시,시도,,송원로,2,,경기도 수원시 장안구 조원동 681-68,37.306395,127.0136873,주안말사거리(조원TG→장안구청),2,50,,,,2021,경기도남부경찰청,031-888-3952,2023-08-01
G7647,경기도,수원시,시도,,만석로,1,,경기도 수원시 장안구 정자동 302-16,37.30021337,126.9961547,정자초교사거리 어린이보호구역(동남보건대학교→만석공원),2,30,,,,2021,경기도남부경찰청,031-888-3952,2023-08-01
